destination,place_name,category,description,recommended_duration,suitable_for,activity_level,source_name,source_section,source_url
Riyadh,نبذة عن الرياض,معلومات عامة,"الرياض عاصمة المملكة العربية السعودية ومدينة تجمع بين التاريخ والعمارة الحديثة والحياة الحضرية المتنوعة. يستطيع الزائر استكشاف مواقع مرتبطة بتاريخ تأسيس الدولة، والتعرّف على الطراز النجدي، وزيارة المعالم العمرانية البارزة ومراكز الثقافة والتسوق. تنتشر التجارب السياحية بين وسط المدينة والدرعية والمناطق الحديثة، لذلك تناسب الرياض الرحلات التي تجمع المعرفة والترفيه والتجول الحضري. تمثل المدينة نقطة مناسبة للمسافرين الراغبين في فهم التحول الذي يربط الموروث السعودي بالمشهد المعاصر.",عدة أيام,جميع المسافرين,متوسط,روح السعودية,الرياض,https://www.visitsaudi.com/ar/riyadh
Riyadh,برج المملكة,معلم بارز,"يُعد برج المملكة من أكثر معالم الرياض وضوحًا في أفق المدينة، ويقع ضمن مركز المملكة في منطقة حيوية من العاصمة. يضم المبنى مرافق للتسوق وتناول الطعام، بينما يوفّر جسر المشاهدة في أعلاه إطلالة بانورامية واسعة على الرياض. تناسب الزيارة من يرغب في مشاهدة المدينة من ارتفاع مرتفع والتعرّف على جانبها العمراني الحديث، كما يمكن الجمع بين تجربة الإطلالة والتجول داخل المركز. الشكل المعماري المميز للبرج يجعله معلمًا مناسبًا للتعرّف البصري في التطبيق.",ساعتان,جميع المسافرين,منخفض,روح السعودية,مركز المملكة,https://www.visitsaudi.com/ar/riyadh/attractions/kingdom-centre
Riyadh,حي الطريف التاريخي,تاريخي,"يقع حي الطريف التاريخي في الدرعية ضمن منطقة الرياض، وهو موقع تراثي مسجل في قائمة اليونسكو للتراث العالمي. ارتبط الحي بتاريخ الدولة السعودية الأولى، وتظهر مبانيه الطينية متعددة الطوابق خصائص العمارة النجدية وأساليب البناء الملائمة للبيئة المحلية. تتيح الزيارة التجول بين المباني والساحات والمتاحف المفتوحة والتعرّف على تاريخ الدرعية والأسرة الحاكمة وتطور المجتمع في المنطقة. يعد المكان مناسبًا للمهتمين بالتاريخ والعمارة والتراث، كما أن تكوينه العمراني المميز يجعله واضحًا بصريًا.",3 ساعات,جميع المسافرين,متوسط,بوابة الدرعية الرسمية,حي الطريف التاريخي,https://www.diriyah.sa/ar/at-turaif
Riyadh,قصر المصمك,تاريخي,"يقع قصر المصمك في حي الديرة وسط الرياض، وهو حصن تاريخي يتميز بجدرانه السميكة وبنائه المتين. يرتبط القصر بمرحلة مهمة من تاريخ المدينة واسترداد الرياض في بداية توحيد المملكة، ثم تحول لاحقًا إلى متحف يعرض جانبًا من تاريخ المكان والأحداث المرتبطة به. يستطيع الزائر مشاهدة تفاصيل العمارة التقليدية والساحات والأبواب والمعروضات التاريخية، لذلك يناسب المهتمين بتاريخ الرياض وتأسيس الدولة. مظهره الحصين وأبراجه الطينية يجعلان التعرف عليه بصريًا ممكنًا.",ساعتان,جميع المسافرين,منخفض,وزارة الثقافة السعودية,متحف قصر المصمك,https://museums.moc.gov.sa/museums/museums-detail?id=0B441465C74A4D46AB9875E1B4757E35
Jeddah,نبذة عن جدة,معلومات عامة,"جدة مدينة ساحلية على البحر الأحمر تجمع بين التراث البحري والحياة الحضرية الحديثة. تشمل تجاربها السياحية التجول في البلد التاريخي، ومشاهدة المباني التقليدية والأسواق القديمة، وزيارة الواجهات البحرية والمعالم البصرية المعروفة. تمنح المدينة الزائر مزيجًا من الثقافة والتاريخ والتنزه بجانب البحر، كما تناسب الرحلات العائلية والفردية ورحلات الأصدقاء. يساعد تنوع مناطقها على بناء برنامج يجمع المشي والاستكشاف والتصوير والاسترخاء، مع إبراز العلاقة بين هوية جدة التاريخية وموقعها الساحلي.",عدة أيام,جميع المسافرين,متوسط,روح السعودية,جدة,https://www.visitsaudi.com/ar/jeddah
Jeddah,نافورة الملك فهد,معلم بارز,"تقع نافورة الملك فهد قبالة ساحل جدة في البحر الأحمر، وتعد من أشهر المعالم البصرية المرتبطة بالمدينة. ترتفع المياه إلى مستوى كبير يمكن مشاهدته من مسافات متعددة على الكورنيش، ويبرز المشهد بصورة خاصة مع إضاءة النافورة وانعكاسها على البحر. تناسب الزيارة التنزه والتصوير ومشاهدة الغروب أو المشهد الليلي من المناطق الساحلية القريبة. تصميمها المميز وموقعها المفتوح يجعلانها من أسهل معالم جدة للتعرف باستخدام الصور، كما يمكن دمجها مع زيارة الواجهة البحرية.",ساعة واحدة,جميع المسافرين,منخفض,روح السعودية,نافورة الملك فهد,https://www.visitsaudi.com/ar/jeddah/attractions/visit-king-fahd-s-fountain
Jeddah,جدة التاريخية,تاريخي,"تقع جدة التاريخية المعروفة باسم البلد في قلب المدينة القديمة، وتمثل جانبًا مهمًا من تاريخ جدة بوصفها بوابة بحرية وتجارية. تتميز المنطقة بأزقتها الضيقة وبيوتها التراثية ذات الرواشين والأسواق والمباني التي تعكس الطابع المعماري المحلي. يستطيع الزائر التجول سيرًا بين المواقع التاريخية ومشاهدة الحرف والمتاجر والمنازل القديمة والتعرف على الحياة الاجتماعية التي تشكلت حول الميناء والحج والتجارة. تناسب المنطقة محبي التاريخ والعمارة والتصوير، وتوفر تجربة مختلفة عن الواجهات الحديثة للمدينة.",نصف يوم,جميع المسافرين,متوسط,روح السعودية,جدة التاريخية والبلد,https://www.visitsaudi.com/ar/jeddah/attractions/jeddah-cultural-and-jeddah-waterfront
Jeddah,واجهة جدة البحرية,واجهة بحرية,"تمتد واجهة جدة البحرية على ساحل البحر الأحمر وتوفر مساحات مفتوحة للتنزه والجلوس وممارسة الأنشطة الرياضية. تضم ممشى طويلًا ومناطق خضراء ومرافق عائلية وإطلالات واسعة على البحر، ويمكن للزائر المشي أو الركض أو ركوب الدراجة والاستمتاع بالهواء البحري. تناسب الواجهة العائلات والأصدقاء والأفراد، كما تعد موقعًا مناسبًا للتصوير ومشاهدة الغروب وربط الزيارة بمعالم ساحلية قريبة. طبيعتها المفتوحة تجعل مستوى النشاط مرنًا بين الاسترخاء والحركة الخفيفة أو المتوسطة.",3 ساعات,جميع المسافرين,متوسط,روح السعودية,واجهة جدة البحرية,https://www.visitsaudi.com/ar/jeddah/attractions/jeddah-waterfront
Abha,نبذة عن أبها,معلومات عامة,"أبها من أبرز مدن منطقة عسير، وتتميز بطبيعتها الجبلية ومناخها المختلف وتنوعها الثقافي. تجمع التجربة السياحية فيها بين المرتفعات والإطلالات والغابات والمنتزهات، إضافة إلى القرى والمواقع الفنية والتراثية. تناسب الوجهة الزوار الباحثين عن المشي في الطبيعة والتصوير والتعرف على ثقافة جنوب المملكة، ويمكن تنظيم الرحلة بين المواقع الطبيعية داخل أبها والمناطق الجبلية المحيطة بها. يضيف اختلاف التضاريس والعمارة المحلية طابعًا واضحًا للمدينة ويجعلها مناسبة لبرنامج يمتد عدة أيام.",عدة أيام,جميع المسافرين,متوسط,روح السعودية,عسير وأبها,https://www.visitsaudi.com/ar/aseer
Abha,جبل السودة,طبيعي,"يقع جبل السودة في منطقة عسير بالقرب من أبها، ويعد من أبرز المواقع الجبلية المعروفة بارتفاعها وإطلالاتها الواسعة على التضاريس المحيطة. توفر المنطقة فرصًا لمشاهدة المشهد الجبلي والتصوير والتنزه والاستمتاع بالطبيعة، مع وجود نقاط مرتفعة تطل على الجبال والأودية. تناسب الزيارة محبي المناظر الطبيعية والهواء الطلق، وقد تتطلب بعض التجارب مشيًا وحركة أكثر من المواقع الحضرية. تساعد القمم والضباب والمنحدرات والغطاء النباتي في تكوين هوية بصرية مميزة للمعلم.",نصف يوم,العائلات والأصدقاء,متوسط,روح السعودية,جبل السودة ومعالم عسير الطبيعية,https://www.visitsaudi.com/ar/aseer
